Date,Price,Price(t-1),Price(t-2),Price(t-3),Price(t-4),Price(t-5),Price(t-6),Price(t-7),Price(t-8),Price(t-9),Price(t-10),Price(t-11),Price(t-12),Price(t-13),Price(t-14),Price(t-15),Real_GDP,CPI,inflation_rate,PALLFNFINDEXM,DEXCHUS
2000-01-26,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,0.86600,0.84350,0.84650,0.85400,0.85300,0.85650,0.84800,14096.03300,168.80000,3.37686,59.47000,0.12077
2000-01-27,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,0.86600,0.84350,0.84650,0.85400,0.85300,0.85650,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-01-28,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,0.86600,0.84350,0.84650,0.85400,0.85300,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-01-31,0.85450,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,0.86600,0.84350,0.84650,0.85400,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-02-01,0.84800,0.85450,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,0.86600,0.84350,0.84650,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-02-02,0.82750,0.84800,0.85450,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,0.86600,0.84350,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-02-03,0.83050,0.82750,0.84800,0.85450,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,0.86600,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-02-04,0.83250,0.83050,0.82750,0.84800,0.85450,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,0.85650,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-02-07,0.83250,0.83250,0.83050,0.82750,0.84800,0.85450,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,0.86250,14096.03300,168.80000,3.37686,59.47000,0.12078
2000-02-08,0.82550,0.83250,0.83250,0.83050,0.82750,0.84800,0.85450,0.84000,0.84450,0.84150,0.84250,0.85650,0.87300,0.87300,0.88250,0.86600,14096.03300,168.80000,3.37686,59.47000,0.12078
